tr,cr,fr,z
-0.164,0.561,-1.815,0.000
-0.166,0.560,-1.814,0.000
-0.168,0.560,-1.814,0.000
-0.170,0.559,-1.813,0.000
-0.173,0.559,-1.812,0.000
-0.176,0.559,-1.811,0.000
-0.179,0.558,-1.811,0.000
-0.182,0.558,-1.810,0.000
-0.185,0.557,-1.809,0.000
-0.188,0.557,-1.808,0.000
-0.191,0.557,-1.807,0.000
-0.194,0.556,-1.806,0.000
-0.197,0.556,-1.806,0.000
-0.201,0.556,-1.805,0.000
-0.204,0.555,-1.804,0.000
-0.207,0.555,-1.803,0.000
-0.211,0.555,-1.802,0.000
-0.214,0.554,-1.801,0.000
-0.218,0.554,-1.800,0.000
-0.222,0.553,-1.799,0.000
-0.225,0.553,-1.798,0.000
-0.229,0.553,-1.797,0.000
-0.232,0.552,-1.796,0.000
-0.236,0.552,-1.794,0.000
-0.240,0.552,-1.793,0.000
-0.243,0.551,-1.792,0.000
-0.247,0.551,-1.791,0.000
-0.250,0.550,-1.790,0.000
-0.254,0.550,-1.788,0.000
-0.258,0.550,-1.787,0.000
-0.261,0.549,-1.786,0.000
-0.265,0.549,-1.785,0.000
-0.269,0.548,-1.783,0.000
-0.272,0.548,-1.782,0.000
-0.276,0.547,-1.781,0.000
-0.280,0.547,-1.779,0.000
-0.283,0.547,-1.778,0.000
-0.287,0.546,-1.777,0.000
-0.291,0.546,-1.775,0.000
-0.294,0.545,-1.774,0.000
-0.298,0.545,-1.772,0.000
-0.302,0.544,-1.771,0.000
-0.305,0.544,-1.769,0.000
-0.309,0.543,-1.768,0.000
-0.312,0.543,-1.766,0.000
-0.316,0.542,-1.765,0.000
-0.319,0.542,-1.763,0.000
-0.323,0.541,-1.762,0.000
-0.326,0.541,-1.760,0.000
-0.329,0.540,-1.759,0.000
-0.333,0.540,-1.757,0.000
-0.336,0.539,-1.756,0.000
-0.340,0.538,-1.754,0.000
-0.343,0.538,-1.752,0.000
-0.346,0.537,-1.751,0.000
-0.350,0.537,-1.749,0.000
-0.353,0.536,-1.747,0.000
-0.357,0.535,-1.746,0.000
-0.360,0.535,-1.744,0.000
-0.364,0.534,-1.742,0.000
-0.367,0.533,-1.740,0.000
-0.370,0.533,-1.738,0.000
-0.374,0.532,-1.737,0.000
-0.377,0.532,-1.735,0.000
-0.381,0.531,-1.733,0.000
-0.384,0.530,-1.731,0.000
-0.388,0.530,-1.729,0.000
-0.391,0.529,-1.727,0.000
-0.395,0.528,-1.726,0.000
-0.398,0.527,-1.724,0.000
-0.401,0.527,-1.722,0.000
-0.405,0.526,-1.720,0.000
-0.408,0.525,-1.718,0.000
-0.412,0.525,-1.716,0.000
-0.415,0.524,-1.713,0.000
-0.418,0.523,-1.711,0.000
-0.422,0.522,-1.709,0.000
-0.425,0.521,-1.707,0.000
-0.428,0.521,-1.705,0.000
-0.431,0.520,-1.703,0.000
-0.435,0.519,-1.700,0.000
-0.438,0.518,-1.698,0.000
-0.441,0.517,-1.696,0.000
-0.444,0.516,-1.693,0.000
-0.448,0.515,-1.691,0.000
-0.451,0.514,-1.689,0.000
-0.454,0.513,-1.686,0.000
-0.457,0.513,-1.684,0.000
-0.461,0.512,-1.682,0.000
-0.464,0.511,-1.679,0.000
-0.467,0.510,-1.677,0.000
-0.470,0.509,-1.674,0.000
-0.473,0.508,-1.672,0.000
-0.476,0.507,-1.669,0.000
-0.480,0.506,-1.667,0.000
-0.483,0.505,-1.664,0.000
-0.486,0.504,-1.662,0.000
-0.489,0.503,-1.659,0.000
-0.492,0.502,-1.657,0.000
-0.495,0.501,-1.654,0.000
-0.498,0.500,-1.651,0.000
-0.501,0.499,-1.649,0.000
-0.504,0.498,-1.646,0.000
-0.508,0.497,-1.644,0.000
-0.511,0.496,-1.641,0.000
-0.514,0.494,-1.638,0.000
-0.517,0.493,-1.635,0.000
-0.520,0.492,-1.633,0.000
-0.523,0.491,-1.630,0.000
-0.526,0.490,-1.627,0.000
-0.529,0.489,-1.624,0.000
-0.532,0.488,-1.622,0.000
-0.535,0.487,-1.619,0.000
-0.538,0.485,-1.616,0.000
-0.541,0.484,-1.613,0.000
-0.543,0.483,-1.610,0.000
-0.546,0.482,-1.607,0.000
-0.549,0.481,-1.604,0.000
-0.552,0.479,-1.601,0.000
-0.555,0.478,-1.598,0.000
-0.558,0.477,-1.595,0.000
-0.561,0.476,-1.592,0.000
-0.564,0.474,-1.589,0.000
-0.567,0.473,-1.586,0.000
-0.569,0.472,-1.583,0.000
-0.572,0.470,-1.580,0.000
-0.575,0.469,-1.577,0.000
-0.578,0.468,-1.574,0.000
-0.581,0.466,-1.571,0.000
-0.583,0.465,-1.567,0.000
-0.586,0.464,-1.564,0.000
-0.589,0.462,-1.561,0.000
-0.592,0.461,-1.558,0.000
-0.595,0.460,-1.554,0.000
-0.597,0.458,-1.551,0.000
-0.600,0.457,-1.548,0.000
-0.603,0.455,-1.545,0.000
-0.605,0.454,-1.541,0.000
-0.608,0.452,-1.538,0.000
-0.611,0.451,-1.535,0.000
-0.614,0.449,-1.531,0.000
-0.616,0.448,-1.528,0.000
-0.619,0.447,-1.524,0.000
-0.621,0.445,-1.521,0.000
-0.624,0.444,-1.518,0.000
-0.626,0.443,-1.516,0.000
-0.627,0.442,-1.514,0.000
-0.629,0.441,-1.512,0.000
-0.630,0.440,-1.509,0.000
-0.632,0.439,-1.507,0.000
-0.634,0.438,-1.505,0.000
-0.636,0.437,-1.502,0.000
-0.638,0.436,-1.499,0.000
-0.640,0.434,-1.496,0.000
-0.642,0.433,-1.493,0.000
-0.644,0.432,-1.490,0.000
-0.646,0.430,-1.487,0.000
-0.648,0.429,-1.484,0.000
-0.651,0.427,-1.481,0.000
-0.653,0.426,-1.478,0.000
-0.655,0.424,-1.474,0.000
-0.657,0.423,-1.471,0.000
-0.660,0.421,-1.467,0.000
-0.662,0.420,-1.464,0.000
-0.664,0.418,-1.460,0.000
-0.666,0.416,-1.457,0.000
-0.669,0.415,-1.453,0.000
-0.671,0.413,-1.450,0.000
-0.674,0.412,-1.446,0.000
-0.676,0.410,-1.442,0.000
-0.678,0.408,-1.438,0.000
-0.681,0.406,-1.435,0.000
-0.683,0.405,-1.431,0.000
-0.685,0.403,-1.427,0.000
-0.688,0.401,-1.423,0.000
-0.690,0.399,-1.419,0.000
-0.692,0.398,-1.415,0.000
-0.695,0.396,-1.411,0.000
-0.697,0.394,-1.407,0.000
-0.699,0.392,-1.403,0.000
-0.702,0.390,-1.399,0.000
-0.704,0.388,-1.395,0.000
-0.706,0.386,-1.391,0.000
-0.709,0.384,-1.386,0.000
-0.711,0.382,-1.382,0.000
-0.713,0.380,-1.378,0.000
-0.715,0.378,-1.373,0.000
-0.718,0.376,-1.369,0.000
-0.720,0.374,-1.365,0.000
-0.722,0.372,-1.360,0.000
-0.724,0.370,-1.356,0.000
-0.726,0.368,-1.351,0.000
-0.729,0.366,-1.347,0.000
-0.731,0.363,-1.342,0.000
-0.733,0.361,-1.338,0.000
-0.735,0.359,-1.333,0.000
-0.737,0.357,-1.329,0.000
-0.740,0.355,-1.324,0.000
-0.742,0.353,-1.319,0.000
-0.744,0.350,-1.315,0.000
-0.746,0.348,-1.310,0.000
-0.748,0.346,-1.305,0.000
-0.750,0.344,-1.301,0.000
-0.752,0.341,-1.296,0.000
-0.755,0.339,-1.291,0.000
-0.757,0.337,-1.286,0.000
-0.759,0.334,-1.281,0.000
-0.761,0.332,-1.277,0.000
-0.763,0.330,-1.272,0.000
-0.765,0.327,-1.267,0.000
-0.767,0.325,-1.262,0.000
-0.769,0.322,-1.257,0.000
-0.771,0.320,-1.252,0.000
-0.773,0.317,-1.247,0.000
-0.775,0.315,-1.242,0.000
-0.777,0.312,-1.237,0.000
-0.779,0.310,-1.231,0.000
-0.781,0.307,-1.226,0.000
-0.783,0.305,-1.221,0.000
-0.785,0.302,-1.216,0.000
-0.787,0.300,-1.211,0.000
-0.789,0.297,-1.205,0.000
-0.791,0.294,-1.200,0.000
-0.793,0.292,-1.195,0.000
-0.795,0.289,-1.189,0.000
-0.797,0.286,-1.184,0.000
-0.799,0.284,-1.178,0.000
-0.801,0.281,-1.173,0.000
-0.803,0.278,-1.167,0.000
-0.805,0.275,-1.162,0.000
-0.807,0.272,-1.156,0.000
-0.809,0.270,-1.150,0.000
-0.811,0.267,-1.145,0.000
-0.813,0.264,-1.139,0.000
-0.814,0.261,-1.133,0.000
-0.816,0.258,-1.128,0.000
-0.818,0.255,-1.122,0.000
-0.820,0.252,-1.116,0.000
-0.822,0.249,-1.110,0.000
-0.824,0.246,-1.104,0.000
-0.826,0.243,-1.098,0.000
-0.827,0.240,-1.092,0.000
-0.829,0.237,-1.086,0.000
-0.831,0.234,-1.080,0.000
-0.833,0.231,-1.074,0.000
-0.835,0.227,-1.067,0.000
-0.836,0.224,-1.061,0.000
-0.838,0.221,-1.055,0.000
-0.840,0.218,-1.048,0.000
-0.842,0.214,-1.042,0.000
-0.844,0.211,-1.036,0.000
-0.845,0.208,-1.029,0.000
-0.847,0.204,-1.023,0.000
-0.849,0.201,-1.016,0.000
-0.851,0.198,-1.009,0.000
-0.852,0.194,-1.003,0.000
-0.854,0.191,-0.996,0.000
-0.856,0.187,-0.989,0.000
-0.857,0.183,-0.982,0.000
-0.859,0.180,-0.975,0.000
-0.861,0.176,-0.968,0.000
-0.863,0.172,-0.961,0.000
-0.864,0.169,-0.954,0.000
-0.866,0.165,-0.947,0.000
-0.868,0.161,-0.940,0.000
-0.869,0.157,-0.933,0.000
-0.871,0.153,-0.925,0.000
-0.873,0.149,-0.918,0.000
-0.874,0.145,-0.910,0.000
-0.876,0.141,-0.903,0.000
-0.877,0.137,-0.895,0.000
-0.879,0.133,-0.887,0.000
-0.881,0.129,-0.880,0.000
-0.882,0.125,-0.872,0.000
-0.884,0.121,-0.864,0.000
-0.886,0.116,-0.856,0.000
-0.887,0.112,-0.848,0.000
-0.889,0.108,-0.839,0.000
-0.890,0.103,-0.831,0.000
-0.892,0.099,-0.823,0.000
-0.893,0.094,-0.814,0.000
-0.895,0.089,-0.806,0.000
-0.897,0.085,-0.797,0.000
-0.898,0.080,-0.788,0.000
-0.900,0.075,-0.779,0.000
-0.901,0.070,-0.770,0.000
-0.903,0.065,-0.761,0.000
-0.904,0.060,-0.752,0.000
-0.906,0.055,-0.743,0.000
-0.907,0.050,-0.733,0.000
-0.909,0.045,-0.723,0.000
-0.910,0.039,-0.714,0.000
-0.912,0.034,-0.704,0.000
-0.913,0.029,-0.694,0.000
-0.915,0.025,-0.686,0.000
-0.916,0.021,-0.679,0.000
-0.917,0.018,-0.672,0.000
-0.918,0.016,-0.666,0.001
-0.919,0.014,-0.661,0.001
-0.920,0.013,-0.656,0.001
-0.921,0.012,-0.652,0.002
-0.922,0.011,-0.649,0.002
-0.923,0.011,-0.646,0.003
-0.924,0.011,-0.643,0.003
-0.925,0.011,-0.640,0.004
-0.926,0.012,-0.638,0.004
-0.926,0.012,-0.636,0.005
-0.927,0.013,-0.634,0.005
-0.928,0.014,-0.633,0.006
-0.929,0.016,-0.632,0.006
-0.929,0.017,-0.631,0.007
-0.930,0.019,-0.630,0.008
-0.930,0.021,-0.630,0.008
-0.931,0.023,-0.632,0.009
-0.931,0.026,-0.634,0.009
-0.931,0.028,-0.636,0.009
-0.931,0.031,-0.640,0.010
-0.931,0.034,-0.644,0.010
-0.930,0.038,-0.648,0.010
-0.930,0.041,-0.653,0.010
-0.929,0.044,-0.657,0.011
-0.929,0.046,-0.660,0.011
-0.929,0.048,-0.661,0.011
-0.929,0.050,-0.662,0.012
-0.930,0.051,-0.663,0.012
-0.930,0.052,-0.663,0.012
-0.930,0.053,-0.662,0.012
-0.931,0.053,-0.660,0.013
-0.931,0.052,-0.657,0.013
-0.932,0.051,-0.654,0.013
-0.933,0.049,-0.650,0.014
-0.933,0.049,-0.648,0.014
-0.934,0.050,-0.647,0.014
-0.934,0.051,-0.647,0.014
-0.934,0.053,-0.648,0.015
-0.934,0.056,-0.650,0.015
-0.934,0.059,-0.653,0.016
-0.934,0.062,-0.657,0.016
-0.934,0.066,-0.661,0.017
-0.934,0.070,-0.665,0.017
-0.933,0.075,-0.670,0.018
-0.933,0.080,-0.676,0.018
-0.933,0.085,-0.682,0.019
-0.932,0.090,-0.688,0.019
-0.932,0.095,-0.693,0.020
-0.932,0.100,-0.699,0.021
-0.932,0.105,-0.704,0.021
-0.931,0.110,-0.709,0.022
-0.931,0.115,-0.714,0.022
-0.931,0.119,-0.718,0.023
-0.931,0.124,-0.723,0.024
-0.931,0.129,-0.727,0.024
-0.931,0.133,-0.731,0.025
-0.931,0.138,-0.735,0.026
-0.931,0.142,-0.739,0.026
-0.931,0.147,-0.743,0.027
-0.931,0.151,-0.746,0.028
-0.931,0.156,-0.750,0.029
-0.931,0.160,-0.753,0.029
-0.931,0.164,-0.756,0.030
-0.931,0.168,-0.760,0.031
-0.931,0.173,-0.763,0.032
-0.931,0.177,-0.766,0.032
-0.931,0.181,-0.769,0.033
-0.931,0.185,-0.772,0.034
-0.931,0.189,-0.774,0.034
-0.931,0.193,-0.777,0.035
-0.931,0.197,-0.779,0.036
-0.932,0.200,-0.782,0.037
-0.932,0.204,-0.784,0.037
-0.932,0.208,-0.786,0.038
-0.932,0.212,-0.789,0.039
-0.932,0.215,-0.791,0.040
-0.932,0.219,-0.793,0.040
-0.932,0.223,-0.795,0.041
-0.933,0.226,-0.797,0.042
-0.933,0.230,-0.799,0.043
-0.933,0.233,-0.800,0.043
-0.933,0.237,-0.802,0.044
-0.933,0.240,-0.804,0.045
-0.933,0.244,-0.806,0.046
-0.933,0.248,-0.809,0.046
-0.933,0.252,-0.812,0.047
-0.933,0.256,-0.815,0.048
-0.933,0.261,-0.819,0.049
-0.933,0.266,-0.823,0.049
-0.933,0.270,-0.827,0.050
-0.933,0.275,-0.831,0.051
-0.932,0.280,-0.836,0.051
-0.932,0.285,-0.840,0.052
-0.932,0.290,-0.845,0.053
-0.931,0.295,-0.849,0.054
-0.931,0.300,-0.854,0.054
-0.930,0.306,-0.859,0.055
-0.930,0.311,-0.864,0.056
-0.929,0.316,-0.869,0.056
-0.929,0.322,-0.875,0.057
-0.928,0.327,-0.880,0.058
-0.928,0.333,-0.886,0.059
-0.927,0.338,-0.892,0.059
-0.926,0.344,-0.898,0.060
-0.926,0.349,-0.904,0.060
-0.925,0.355,-0.910,0.061
-0.924,0.361,-0.916,0.062
-0.923,0.367,-0.923,0.062
-0.922,0.372,-0.929,0.063
-0.922,0.378,-0.935,0.064
-0.921,0.384,-0.942,0.064
-0.920,0.390,-0.949,0.065
-0.919,0.395,-0.956,0.065
-0.918,0.401,-0.962,0.066
-0.917,0.407,-0.969,0.066
-0.916,0.413,-0.976,0.067
-0.914,0.418,-0.983,0.067
-0.913,0.424,-0.991,0.068
-0.912,0.429,-0.998,0.068
-0.911,0.435,-1.005,0.068
-0.910,0.440,-1.013,0.069
-0.908,0.446,-1.020,0.069
-0.907,0.451,-1.027,0.069
-0.906,0.456,-1.034,0.069
-0.904,0.461,-1.042,0.070
-0.903,0.466,-1.049,0.070
-0.902,0.471,-1.056,0.070
-0.900,0.475,-1.063,0.070
-0.899,0.479,-1.069,0.070
-0.897,0.483,-1.076,0.070
-0.896,0.486,-1.082,0.070
-0.895,0.490,-1.088,0.070
-0.893,0.493,-1.094,0.070
-0.892,0.496,-1.100,0.070
-0.891,0.499,-1.106,0.070
-0.889,0.502,-1.111,0.069
-0.888,0.504,-1.117,0.069
-0.886,0.506,-1.122,0.069
-0.885,0.509,-1.127,0.069
-0.884,0.511,-1.133,0.069
-0.882,0.513,-1.138,0.068
-0.881,0.515,-1.143,0.068
-0.879,0.517,-1.148,0.068
-0.878,0.519,-1.153,0.067
-0.877,0.521,-1.158,0.067
-0.875,0.523,-1.163,0.067
-0.874,0.525,-1.168,0.067
-0.872,0.527,-1.173,0.066
-0.871,0.529,-1.178,0.066
-0.869,0.531,-1.183,0.066
-0.868,0.533,-1.189,0.065
-0.866,0.535,-1.194,0.065
-0.865,0.537,-1.199,0.065
-0.863,0.539,-1.204,0.065
-0.862,0.541,-1.209,0.064
-0.860,0.543,-1.214,0.064
-0.858,0.545,-1.219,0.064
-0.857,0.547,-1.224,0.064
-0.855,0.548,-1.229,0.063
-0.854,0.550,-1.233,0.063
-0.852,0.552,-1.238,0.063
-0.851,0.554,-1.243,0.062
-0.849,0.556,-1.248,0.062
-0.847,0.557,-1.253,0.062
-0.846,0.559,-1.257,0.062
-0.844,0.561,-1.262,0.061
-0.843,0.562,-1.267,0.061
-0.841,0.564,-1.271,0.061
-0.839,0.565,-1.276,0.060
-0.838,0.566,-1.280,0.060
-0.836,0.568,-1.284,0.060
-0.835,0.569,-1.289,0.059
-0.833,0.570,-1.293,0.059
-0.831,0.571,-1.297,0.059
-0.830,0.573,-1.301,0.058
-0.828,0.574,-1.305,0.058
-0.827,0.575,-1.309,0.058
-0.825,0.576,-1.314,0.057
-0.823,0.577,-1.318,0.057
-0.822,0.578,-1.322,0.057
-0.820,0.579,-1.326,0.056
-0.819,0.580,-1.330,0.056
-0.817,0.581,-1.333,0.056
-0.815,0.582,-1.337,0.055
-0.814,0.583,-1.341,0.055
-0.812,0.583,-1.345,0.055
-0.810,0.584,-1.349,0.054
-0.809,0.585,-1.353,0.054
-0.807,0.586,-1.357,0.054
-0.805,0.587,-1.360,0.053
-0.803,0.588,-1.364,0.053
-0.802,0.589,-1.368,0.053
-0.800,0.590,-1.372,0.052
-0.798,0.591,-1.376,0.052
-0.796,0.592,-1.380,0.052
-0.795,0.593,-1.384,0.051
-0.793,0.594,-1.387,0.051
-0.791,0.595,-1.391,0.051
-0.789,0.596,-1.395,0.051
-0.788,0.597,-1.399,0.050
-0.786,0.598,-1.403,0.050
-0.784,0.599,-1.406,0.050
-0.782,0.599,-1.410,0.049
-0.780,0.600,-1.414,0.049
-0.778,0.601,-1.417,0.049
-0.777,0.602,-1.421,0.048
-0.775,0.603,-1.425,0.048
-0.773,0.604,-1.428,0.048
-0.771,0.605,-1.432,0.048
-0.769,0.606,-1.436,0.047
-0.767,0.606,-1.439,0.047
-0.765,0.607,-1.443,0.047
-0.763,0.608,-1.446,0.046
-0.761,0.609,-1.450,0.046
-0.759,0.610,-1.453,0.046
-0.758,0.610,-1.457,0.046
-0.756,0.611,-1.460,0.045
-0.754,0.612,-1.464,0.045
-0.752,0.613,-1.467,0.045
-0.750,0.613,-1.471,0.044
-0.748,0.614,-1.474,0.044
-0.746,0.615,-1.478,0.044
-0.744,0.616,-1.481,0.044
-0.742,0.617,-1.485,0.043
-0.740,0.618,-1.488,0.043
-0.738,0.618,-1.492,0.043
-0.736,0.619,-1.495,0.043
-0.734,0.620,-1.498,0.042
-0.731,0.621,-1.502,0.042
-0.729,0.622,-1.505,0.042
-0.727,0.623,-1.509,0.042
-0.725,0.623,-1.512,0.041
-0.723,0.624,-1.515,0.041
-0.721,0.625,-1.519,0.041
-0.719,0.626,-1.522,0.041
-0.717,0.626,-1.525,0.040
-0.715,0.627,-1.529,0.040
-0.712,0.628,-1.532,0.040
-0.710,0.629,-1.535,0.040
-0.708,0.629,-1.539,0.040
-0.706,0.630,-1.542,0.039
-0.704,0.631,-1.545,0.039
-0.701,0.632,-1.548,0.039
-0.699,0.632,-1.551,0.039
-0.697,0.633,-1.555,0.038
-0.695,0.634,-1.558,0.038
-0.693,0.634,-1.561,0.038
-0.690,0.635,-1.564,0.038
-0.688,0.635,-1.567,0.037
-0.686,0.636,-1.570,0.037
-0.684,0.637,-1.573,0.037
-0.681,0.637,-1.576,0.037
-0.679,0.637,-1.579,0.036
-0.677,0.638,-1.582,0.036
-0.674,0.638,-1.585,0.036
-0.672,0.639,-1.587,0.036
-0.670,0.639,-1.590,0.035
-0.668,0.639,-1.593,0.035
-0.665,0.639,-1.596,0.035
-0.663,0.640,-1.598,0.035
-0.661,0.640,-1.601,0.034
-0.658,0.640,-1.604,0.034
-0.656,0.640,-1.606,0.034
-0.654,0.640,-1.609,0.034
-0.652,0.640,-1.611,0.033
-0.649,0.640,-1.614,0.033
-0.647,0.641,-1.617,0.033
-0.645,0.641,-1.619,0.033
-0.642,0.641,-1.622,0.032
-0.640,0.641,-1.624,0.032
-0.638,0.641,-1.627,0.032
-0.635,0.641,-1.629,0.031
-0.633,0.641,-1.631,0.031
-0.630,0.641,-1.634,0.031
-0.628,0.641,-1.636,0.031
-0.626,0.640,-1.639,0.030
-0.623,0.640,-1.641,0.030
-0.621,0.640,-1.643,0.030
-0.618,0.640,-1.645,0.030
-0.616,0.640,-1.647,0.029
-0.613,0.640,-1.650,0.029
-0.611,0.639,-1.652,0.029
-0.608,0.639,-1.654,0.028
-0.606,0.639,-1.656,0.028
-0.603,0.639,-1.658,0.028
-0.600,0.639,-1.661,0.028
-0.598,0.639,-1.663,0.027
-0.595,0.639,-1.665,0.027
-0.593,0.639,-1.667,0.027
-0.590,0.639,-1.669,0.027
-0.588,0.639,-1.672,0.026
-0.585,0.638,-1.674,0.026
-0.582,0.638,-1.676,0.026
-0.580,0.638,-1.678,0.026
-0.577,0.638,-1.680,0.026
-0.574,0.638,-1.682,0.025
-0.572,0.638,-1.684,0.025
-0.569,0.638,-1.686,0.025
-0.566,0.638,-1.689,0.025
-0.564,0.637,-1.691,0.024
-0.561,0.637,-1.693,0.024
-0.558,0.637,-1.695,0.024
-0.555,0.637,-1.697,0.024
-0.553,0.637,-1.699,0.023
-0.550,0.636,-1.701,0.023
-0.547,0.636,-1.702,0.023
-0.544,0.636,-1.704,0.023
-0.542,0.636,-1.706,0.022
-0.539,0.635,-1.708,0.022
-0.536,0.635,-1.710,0.022
-0.533,0.635,-1.712,0.022
-0.530,0.635,-1.714,0.022
-0.528,0.634,-1.716,0.021
-0.525,0.634,-1.717,0.021
-0.522,0.634,-1.719,0.021
-0.519,0.633,-1.721,0.021
-0.516,0.633,-1.723,0.020
-0.513,0.633,-1.724,0.020
-0.510,0.632,-1.726,0.020
-0.507,0.632,-1.728,0.020
-0.505,0.632,-1.730,0.020
-0.502,0.631,-1.731,0.019
-0.499,0.631,-1.733,0.019
-0.496,0.630,-1.734,0.019
-0.493,0.630,-1.736,0.019
-0.490,0.630,-1.738,0.018
-0.487,0.629,-1.739,0.018
-0.484,0.629,-1.741,0.018
-0.481,0.628,-1.742,0.018
-0.478,0.628,-1.744,0.018
-0.475,0.627,-1.745,0.017
-0.472,0.627,-1.747,0.017
-0.469,0.626,-1.748,0.017
-0.466,0.626,-1.750,0.017
-0.463,0.625,-1.751,0.016
-0.460,0.625,-1.753,0.016
-0.457,0.624,-1.754,0.016
-0.454,0.623,-1.755,0.016
-0.451,0.623,-1.757,0.016
-0.447,0.622,-1.758,0.015
-0.444,0.622,-1.759,0.015
-0.441,0.621,-1.761,0.015
-0.438,0.620,-1.762,0.015
-0.435,0.620,-1.763,0.014
-0.432,0.619,-1.764,0.014
-0.429,0.619,-1.766,0.014
-0.425,0.618,-1.767,0.014
-0.422,0.618,-1.768,0.014
-0.419,0.617,-1.770,0.013
-0.416,0.617,-1.771,0.013
-0.413,0.616,-1.772,0.013
-0.409,0.616,-1.774,0.013
-0.406,0.616,-1.775,0.013
-0.403,0.615,-1.776,0.013
-0.400,0.615,-1.777,0.012
-0.396,0.614,-1.778,0.012
-0.393,0.614,-1.780,0.012
-0.390,0.613,-1.781,0.012
-0.386,0.613,-1.782,0.012
-0.383,0.612,-1.783,0.011
-0.380,0.612,-1.784,0.011
-0.376,0.611,-1.786,0.011
-0.373,0.611,-1.787,0.011
-0.369,0.610,-1.788,0.011
-0.366,0.610,-1.789,0.011
-0.363,0.609,-1.790,0.010
-0.359,0.609,-1.791,0.010
-0.356,0.609,-1.792,0.010
-0.352,0.608,-1.794,0.010
-0.349,0.608,-1.795,0.010
-0.346,0.608,-1.796,0.010
-0.342,0.608,-1.797,0.010
-0.339,0.607,-1.798,0.010
-0.335,0.607,-1.799,0.009
-0.332,0.607,-1.801,0.009
-0.328,0.606,-1.802,0.009
-0.325,0.606,-1.803,0.009
-0.321,0.606,-1.804,0.009
-0.318,0.606,-1.805,0.009
-0.314,0.605,-1.806,0.009
-0.310,0.605,-1.807,0.009
-0.307,0.605,-1.808,0.008
-0.303,0.604,-1.809,0.008
-0.300,0.604,-1.810,0.008
-0.296,0.604,-1.811,0.008
-0.292,0.603,-1.812,0.008
-0.289,0.603,-1.812,0.008
-0.285,0.603,-1.813,0.008
-0.281,0.602,-1.814,0.008
-0.278,0.602,-1.815,0.007
-0.274,0.601,-1.816,0.007
-0.271,0.601,-1.816,0.007
-0.267,0.600,-1.817,0.007
-0.263,0.599,-1.817,0.007
-0.260,0.598,-1.818,0.007
-0.256,0.598,-1.818,0.007
-0.252,0.597,-1.819,0.006
-0.249,0.596,-1.819,0.006
-0.245,0.595,-1.820,0.006
-0.241,0.594,-1.820,0.006
-0.238,0.593,-1.820,0.006
-0.234,0.592,-1.820,0.005
-0.230,0.591,-1.821,0.005
-0.227,0.590,-1.821,0.005
-0.223,0.589,-1.821,0.005
-0.219,0.588,-1.821,0.005
-0.216,0.587,-1.821,0.005
-0.212,0.586,-1.821,0.004
-0.208,0.585,-1.822,0.004
-0.205,0.584,-1.822,0.004
-0.201,0.582,-1.822,0.004
-0.197,0.581,-1.822,0.004
-0.193,0.580,-1.822,0.003
-0.190,0.579,-1.822,0.003
-0.186,0.578,-1.821,0.003
-0.182,0.576,-1.821,0.003
-0.179,0.575,-1.821,0.003
-0.175,0.574,-1.821,0.002
-0.171,0.573,-1.821,0.002
-0.167,0.571,-1.821,0.002
-0.164,0.570,-1.820,0.002
-0.161,0.569,-1.820,0.002
-0.159,0.568,-1.820,0.001
-0.157,0.567,-1.820,0.001
-0.156,0.566,-1.819,0.001
-0.156,0.565,-1.819,0.001
-0.156,0.564,-1.818,0.001